DR_ENID_EUPX_20170927_30.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-09-27 10:15:33;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-08-26;2017-09-25;4331,94;4353,29;854;0;40;1;Z;F;R
ENID_4081037150;97612694;0;C12A;3;2017-08-26;2017-09-25;3692;3805,08;4523;0;40;1;Z;F;R
ENID_4081037151;97612689;0;C12A;2;2017-08-26;2017-09-25;4578,56;4600,56;660;0;30;1;Z;F;R
ENID_4081037151;97612689;0;C12A;3;2017-08-26;2017-09-25;4423,27;4538,27;3450;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;2;2017-08-26;2017-09-25;7319,56;7349,97;912;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;3;2017-08-26;2017-09-25;6136,08;6288,93;4586;0;30;1;Z;F;R
ENID_4081037153;97612698;0;C12A;2;2017-08-26;2017-09-25;6560,22;6588,73;570;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;3;2017-08-26;2017-09-25;6394,69;6547,38;3054;0;20;1;Z;F;R
ENID_4081037154;97612699;0;C12A;2;2017-08-26;2017-09-25;4961,05;4992,52;944;0;30;1;Z;F;R
ENID_4081037154;97612699;0;C12A;3;2017-08-26;2017-09-25;4971,21;5148,65;5323;0;30;1;Z;F;R
ENID_4081037155;97612691;0;C12A;2;2017-08-26;2017-09-25;4355,84;4379,57;949;0;40;1;Z;F;R
ENID_4081037155;97612691;0;C12A;3;2017-08-26;2017-09-25;3818,36;3921,81;4138;0;40;1;Z;F;R
ENID_4081037156;97612695;0;C12A;2;2017-08-26;2017-09-25;5378,23;5403,81;512;0;20;1;Z;F;R
ENID_4081037156;97612695;0;C12A;3;2017-08-26;2017-09-25;5209,34;5345,29;2719;0;20;1;Z;F;R
ENID_4081037160;97612696;0;C12A;2;2017-08-26;2017-09-25;6637,16;6662,79;1025;0;40;1;Z;F;R
ENID_4081037160;97612696;0;C12A;3;2017-08-26;2017-09-25;5059,62;5185,69;5043;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-03-25;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-08-26;2017-09-25;4746,73;4777,82;1244;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-03-25;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-08-26;2017-09-25;5095,98;5236,06;5603;0;40;1;Z;F;R
