DR_ENID_EUPX_20170830_26.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-08-30 10:13:58;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-07-26;2017-08-25;4302,11;4331,94;1193;0;40;1;Z;F;R
ENID_4081037150;97612694;0;C12A;3;2017-07-26;2017-08-25;3552,16;3692;5594;0;40;1;Z;F;R
ENID_4081037151;97612689;0;C12A;2;2017-07-26;2017-08-25;4519,55;4578,56;1770;0;30;1;Z;F;R
ENID_4081037151;97612689;0;C12A;3;2017-07-26;2017-08-25;4139,13;4423,27;8524;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;2;2017-07-26;2017-08-25;7277;7319,56;1277;0;30;1;Z;F;R
ENID_4081037152;97612688;0;C12A;3;2017-07-26;2017-08-25;5921,77;6136,08;6429;0;30;1;Z;F;R
ENID_4081037153;97612698;0;C12A;2;2017-07-26;2017-08-25;6526,76;6560,22;669;0;20;1;Z;F;R
ENID_4081037153;97612698;0;C12A;3;2017-07-26;2017-08-25;6225,96;6394,69;3375;0;20;1;Z;F;R
ENID_4081037154;97612699;0;C12A;2;2017-07-26;2017-08-25;4925,27;4961,05;1074;0;30;1;Z;F;R
ENID_4081037154;97612699;0;C12A;3;2017-07-26;2017-08-25;4778,3;4971,21;5787;0;30;1;Z;F;R
ENID_4081037155;97612691;0;C12A;2;2017-07-26;2017-08-25;4322,23;4355,84;1345;0;40;1;Z;F;R
ENID_4081037155;97612691;0;C12A;3;2017-07-26;2017-08-25;3709,46;3818,36;4356;0;40;1;Z;F;R
ENID_4081037156;97612695;0;C12A;2;2017-07-26;2017-08-25;5348,07;5378,23;603;0;20;1;Z;F;R
ENID_4081037156;97612695;0;C12A;3;2017-07-26;2017-08-25;5071,22;5209,34;2763;0;20;1;Z;F;R
ENID_4081037160;97612696;0;C12A;2;2017-07-26;2017-08-25;6593,88;6637,16;1731;0;40;1;Z;F;R
ENID_4081037160;97612696;0;C12A;3;2017-07-26;2017-08-25;4862,38;5059,62;7889;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-03-25;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-07-26;2017-08-25;4711,99;4746,73;1389;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-03-25;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-07-26;2017-08-25;4946,42;5095,98;5983;0;40;1;Z;F;R
